nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure
      1713, 2.839710248E-02, 1.239226745E-01, 8.099599211E-02, 1.036610776E+05
      1714, 2.848360359E-02, 1.240625734E-01, 8.211635765E-02, 1.035173551E+05
      1715, 2.854925365E-02, 1.241881326E-01, 8.310958165E-02, 1.034092440E+05
      1716, 2.860220461E-02, 1.242991014E-01, 8.398721013E-02, 1.030599741E+05
      1717, 2.863965976E-02, 1.243989344E-01, 8.476057492E-02, 1.025692866E+05
      1718, 2.865190028E-02, 1.244864538E-01, 8.544095876E-02, 1.021834849E+05
      1719, 2.865761752E-02, 1.245609726E-01, 8.603802085E-02, 1.017982290E+05
      1720, 2.866262218E-02, 1.246262078E-01, 8.656070000E-02, 1.015042879E+05
      1721, 2.866699707E-02, 1.246832245E-01, 8.701753185E-02, 1.012902616E+05
      1722, 2.867081482E-02, 1.247329888E-01, 8.741625413E-02, 1.012282469E+05
      1723, 2.867414284E-02, 1.247763700E-01, 8.776383413E-02, 1.002831343E+05
      1724, 2.867704092E-02, 1.248141467E-01, 8.806650951E-02, 9.939551899E+04
      1725, 2.867956224E-02, 1.248470125E-01, 8.832983758E-02, 9.861822271E+04
      1726, 2.868175402E-02, 1.248755828E-01, 8.855874884E-02, 9.787376307E+04
      1727, 2.868365801E-02, 1.249004015E-01, 8.875760218E-02, 9.712372269E+04
      1728, 2.868531098E-02, 1.249219483E-01, 8.893023934E-02, 9.636201012E+04
      1729, 2.868674527E-02, 1.249406445E-01, 8.908003740E-02, 9.555967732E+04
      1730, 2.868798923E-02, 1.249568598E-01, 8.920995827E-02, 9.462431483E+04
      1731, 2.868906771E-02, 1.249709179E-01, 8.932259472E-02, 9.362334174E+04
      1732, 2.868851346E-02, 1.249834278E-01, 8.942017418E-02, 9.082921062E+04
      1733, 4.402274711E-03, 1.095240799E-01, 9.075353672E-03, 9.914955522E+04
      1734, 5.040147263E-03, 1.097595709E-01, 1.015242514E-02, 9.883790728E+04
      1735, 5.762114883E-03, 1.100098181E-01, 1.135783353E-02, 9.886852802E+04
      1736, 6.556072807E-03, 1.102675537E-01, 1.271369620E-02, 9.907648126E+04
      1737, 7.396692113E-03, 1.105856924E-01, 1.423592830E-02, 9.894631548E+04
      1738, 8.266433206E-03, 1.109602153E-01, 1.594309515E-02, 9.837402648E+04
      1739, 9.179618266E-03, 1.113653987E-01, 1.783917819E-02, 9.742300649E+04
      1740, 1.016383011E-02, 1.118186451E-01, 1.991047755E-02, 9.656192088E+04
      1741, 1.122380954E-02, 1.123293824E-01, 2.215213431E-02, 9.611031465E+04
      1742, 1.234645682E-02, 1.128976437E-01, 2.456467275E-02, 9.585716730E+04
      1743, 1.350688640E-02, 1.135156556E-01, 2.714997375E-02, 9.571202155E+04
      1744, 1.468231613E-02, 1.141895351E-01, 2.989887746E-02, 9.556899798E+04
      1745, 1.586749860E-02, 1.148995553E-01, 3.279454811E-02, 9.537801878E+04
      1746, 1.705434320E-02, 1.156481070E-01, 3.581050722E-02, 9.531185364E+04
      1747, 1.823259210E-02, 1.163970725E-01, 3.892626549E-02, 9.551282034E+04
      1748, 1.936647565E-02, 1.171657421E-01, 4.211275090E-02, 9.587395332E+04
      1749, 2.049870869E-02, 1.178972532E-01, 4.532843271E-02, 9.657365917E+04
      1750, 2.155394036E-02, 1.186221244E-01, 4.855198383E-02, 9.750073942E+04
      1751, 2.254499193E-02, 1.192893714E-01, 5.175038466E-02, 9.839036721E+04
      1752, 2.346043148E-02, 1.199191404E-01, 5.488571564E-02, 9.935933008E+04
      1753, 2.429302895E-02, 1.204996555E-01, 5.792931191E-02, 1.003029006E+05
      1754, 2.503379135E-02, 1.210098382E-01, 6.085902266E-02, 1.011450641E+05
      1755, 2.568332893E-02, 1.214658052E-01, 6.364873802E-02, 1.018788038E+05
      1756, 2.625658271E-02, 1.219031530E-01, 6.627241989E-02, 1.025360375E+05
      1757, 2.674192712E-02, 1.222832095E-01, 6.872791003E-02, 1.030561689E+05
      1758, 2.715026043E-02, 1.226188897E-01, 7.100496273E-02, 1.034377034E+05
      1759, 2.747861398E-02, 1.228937193E-01, 7.310493038E-02, 1.036968970E+05
      1760, 2.775109379E-02, 1.231502416E-01, 7.502093838E-02, 1.038440012E+05
      1761, 2.797618878E-02, 1.233877695E-01, 7.675816503E-02, 1.039171865E+05
      1762, 2.815799376E-02, 1.235967872E-01, 7.832609963E-02, 1.039003187E+05
      1763, 2.829258065E-02, 1.237670885E-01, 7.973668608E-02, 1.037971231E+05
      1764, 2.840202350E-02, 1.239215975E-01, 8.099627712E-02, 1.036668374E+05
      1765, 2.848853166E-02, 1.240614924E-01, 8.211667978E-02, 1.035209760E+05
      1766, 2.855419538E-02, 1.241870820E-01, 8.310993108E-02, 1.034173245E+05
      1767, 2.860715370E-02, 1.242980543E-01, 8.398758620E-02, 1.030662946E+05
      1768, 2.864461483E-02, 1.243978899E-01, 8.476097397E-02, 1.025700069E+05
      1769, 2.865685860E-02, 1.244854054E-01, 8.544137843E-02, 1.021871483E+05
      1770, 2.866258053E-02, 1.245599254E-01, 8.603845746E-02, 1.018130444E+05
      1771, 2.866758960E-02, 1.246251615E-01, 8.656115097E-02, 1.015233135E+05
      1772, 2.867196762E-02, 1.246821790E-01, 8.701799498E-02, 1.013487841E+05
